configuration,corpus_embedding_seconds,chunk_embedding_ms_mean,document_embedding_ms_mean,chunk_count,model,dimension,model_load_seconds,query_embedding_ms_p50,query_embedding_ms_p95,peak_process_rss_mib
C1,1.8415154030080885,54.16221773553201,92.07577015040442,34,e5-small,384,2.716755227011163,31.4964595308993,38.99863659171387,893.63671875
C2,1.6801664010272361,49.41665885374224,84.0083200513618,34,e5-small,384,2.716755227011163,31.4964595308993,38.99863659171387,893.63671875
C3,1.6569302990101278,44.781899973246695,82.84651495050639,37,e5-small,384,2.716755227011163,31.4964595308993,38.99863659171387,893.63671875
C7,1.6018806159845553,80.09403079922777,80.09403079922777,20,e5-small,384,2.716755227011163,31.4964595308993,38.99863659171387,893.63671875
C8,1.5941329270135611,79.70664635067806,79.70664635067806,20,e5-small,384,2.716755227011163,31.4964595308993,38.99863659171387,893.63671875
C9,1.7461632170015946,67.16012373083056,87.30816085007973,26,e5-small,384,2.716755227011163,31.4964595308993,38.99863659171387,893.63671875
C4,6.487833048973698,190.8186190874617,324.3916524486849,34,e5-base,768,2.578851328988094,92.76739301276393,109.82575282396283,1150.93359375
C5,6.471924929006491,190.35073320607327,323.59624645032454,34,e5-base,768,2.578851328988094,92.76739301276393,109.82575282396283,1150.93359375
C6,6.6140258479863405,178.75745535098218,330.701292399317,37,e5-base,768,2.578851328988094,92.76739301276393,109.82575282396283,1150.93359375
